taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
6814,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Dunckerocampus,Dunckerocampus dactyliophorus,"(Bleeker, 1853)",,,,DD,Banded Pipefish
6818,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,DRAPARNAUDIIDAE,Draparnaudia,Draparnaudia anniae,"Tillier &amp; Mordan, 1995",,,,CR,
6819,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,DRAPARNAUDIIDAE,Draparnaudia,Draparnaudia subnecata,"Tillier &amp; Mordan, 1995",,,,CR,
6820,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys everetti,"(Thomas, 1890)",,,,LC,Bornean Mountain Ground Squirrel
6821,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys lokriah,"(Hodgson, 1836)",,,,LC,Orange-bellied Himalayan Squirrel
6822,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys pernyi,"(Milne-Edwards, 1867)",,,,LC,Perny's Long-nosed Squirrel
6823,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys pyrrhomerus,"(Thomas, 1895)",,,,LC,Red-hipped Squirrel
6824,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys rufigenis,"(Blanford, 1878)",,,,LC,Red-cheeked Squirrel
6828,ANIMALIA,ANNELIDA,CLITELLATA,MEGADRILACEAE,MEGASCOLECIDAE,Driloleirus,Driloleirus americanus,"Smith, 1897",,,,VU,Giant Palouse Earthworm
6829,ANIMALIA,ANNELIDA,CLITELLATA,MEGADRILACEAE,MEGASCOLECIDAE,Driloleirus,Driloleirus macelfreshi,"(Smith, 1937)",,,,EN,Oregon Giant Earthworm
